ID,Title,Release Year,Locations,Fun Facts,Production Company,Distributor,Director,Writer,Actor 1,Actor 2,Actor 3
1,24 Hours on Craigslist,2005,,,Yerba Buena Productions,Zealot Pictures,Michael Ferris Gibson,N/A,Craig Newmark,,
2,A Night Full of Rain,1978,Embarcadero Freeway,"Embarcadero Freeway, which was featured in the film was demolished in 1989 because of structural damage from the 1989 Loma Prieta Earthquake)",Liberty Film,Warner Bros. Pictures,Lina Wertmuller,Lina Wertmuller,Candice Bergen,Giancarlo Gianni,
3,A Night Full of Rain,1978,950 Mason Street,"In 1945 the Fairmont hosted the United Nations Conference on International Organization as delegates arrived to draft a charter for the organization. The U.S. Secretary of State, Edward Stettinius drafted the charter in the hotel's Garden Room.",Liberty Film,Warner Bros. Pictures,Lina Wertmuller,Lina Wertmuller,Candice Bergen,Giancarlo Gianni,
4,A Night Full of Rain,1978,901 Mission Street,The San Francisco Zodiac Killer of the late 1960s sent his notes and letters to the Chronicle's offices.,Liberty Film,Warner Bros. Pictures,Lina Wertmuller,Lina Wertmuller,Candice Bergen,Giancarlo Gianni,
5,A Night Full of Rain,1978,Broadway,,Liberty Film,Warner Bros. Pictures,Lina Wertmuller,Lina Wertmuller,Candice Bergen,Giancarlo Gianni,
6,About a Boy,2014,Broderick,,NBC Studios,National Broadcasting Company,Mark J. Kunerth,Jason Katims,David Walton,Minnie Driver,
7,About a Boy,2014,Crissy Field,,NBC Studios,National Broadcasting Company,Mark J. Kunerth,Jason Katims,David Walton,Minnie Driver,
8,About a Boy,2014,Powell,,NBC Studios,National Broadcasting Company,Mark J. Kunerth,Jason Katims,David Walton,Minnie Driver,
9,Age of Adaline,2015,Pier 50,,Lionsgate / Sidney Kimmel Entertainment / Lakeshore Entertainment,,Lee Toland Krieger,J. Mills Goodloe,Blake Lively,Harrison Ford,Ellen Burstyn
10,Age of Adaline,2015,California,,Lionsgate / Sidney Kimmel Entertainment / Lakeshore Entertainment,,Lee Toland Krieger,J. Mills Goodloe,Blake Lively,Harrison Ford,Ellen Burstyn
11,Age of Adaline,2015,Montgomery,,Lionsgate / Sidney Kimmel Entertainment / Lakeshore Entertainment,,Lee Toland Krieger,J. Mills Goodloe,Blake Lively,Harrison Ford,Ellen Burstyn
12,Age of Adaline,2015,,,Lionsgate / Sidney Kimmel Entertainment / Lakeshore Entertainment,,Lee Toland Krieger,J. Mills Goodloe,Blake Lively,Harrison Ford,Ellen Burstyn
13,Age of Adaline,2015,,,Lionsgate / Sidney Kimmel Entertainment / Lakeshore Entertainment,,Lee Toland Krieger,J. Mills Goodloe,Blake Lively,Harrison Ford,Ellen Burstyn
14,After the Thin Man,1936,Coit Tower,"The Tower was funded by a gift bequeathed by Lillie Hitchcock Coit, a socialite who reportedly liked to chase fires. Though the tower resembles a firehose nozzle, it was not designed this way.",Metro-Goldwyn Mayer,Metro-Goldwyn Mayer,W.S. Van Dyke,Frances Goodrich,William Powell,Myrna Loy,James Stewart
15,Ant-Man,2015,California,Driving shots,"PYM Particles Productions, LLC",Walt Disney Studios Motion Pictures,Peyton Reed,Gabriel Ferrari ,Michael Douglas,Paul Rudd,
16,Americana,2015,399 San Fernando Way,,Sutro Films LLC,,Zachary Shedd,Zachary Shedd,Kelli Garner,Jack Davenport,Peter Coyote
17,Americana,2015,Romolo Place,,Sutro Films LLC,,Zachary Shedd,Zachary Shedd,Kelli Garner,Jack Davenport,Peter Coyote
18,Americana,2015,Palace of Fine Arts,,Sutro Films LLC,,Zachary Shedd,Zachary Shedd,Kelli Garner,Jack Davenport,Peter Coyote
19,Americana,2015,John Shelley Drive,,Sutro Films LLC,,Zachary Shedd,Zachary Shedd,Kelli Garner,Jack Davenport,Peter Coyote
20,Americana,2015,Treasure Island,,Sutro Films LLC,,Zachary Shedd,Zachary Shedd,Kelli Garner,Jack Davenport,Peter Coyote
21,Americana,2015,300 Gavin St.,,Sutro Films LLC,,Zachary Shedd,Zachary Shedd,Kelli Garner,Jack Davenport,Peter Coyote
22,Americana,2015,33 Spruce St,,Sutro Films LLC,,Zachary Shedd,Zachary Shedd,Kelli Garner,Jack Davenport,Peter Coyote
23,Americana,2015,373 Broadway,,Sutro Films LLC,,Zachary Shedd,Zachary Shedd,Kelli Garner,Jack Davenport,Peter Coyote
24,Americana,2015,2534 Mission,,Sutro Films LLC,,Zachary Shedd,Zachary Shedd,Kelli Garner,Jack Davenport,Peter Coyote
25,Americana,2015,Bernal Heights Park,,Sutro Films LLC,,Zachary Shedd,Zachary Shedd,Kelli Garner,Jack Davenport,Peter Coyote
26,Americana,2015,Jackson St.,,Sutro Films LLC,,Zachary Shedd,Zachary Shedd,Kelli Garner,Jack Davenport,Peter Coyote
27,Americana,2015,679 Madrid St,,Sutro Films LLC,,Zachary Shedd,Zachary Shedd,Kelli Garner,Jack Davenport,Peter Coyote
28,Americana,2015,3117 16th St.,,Sutro Films LLC,,Zachary Shedd,Zachary Shedd,Kelli Garner,Jack Davenport,Peter Coyote
29,Americana,2015,582 Market St.,,Sutro Films LLC,,Zachary Shedd,Zachary Shedd,Kelli Garner,Jack Davenport,Peter Coyote
30,Americana,2015,Laguna Honda Hospital; 375 Laguna Honda Blvd.,,Sutro Films LLC,,Zachary Shedd,Zachary Shedd,Kelli Garner,Jack Davenport,Peter Coyote
31,Americana,2015,3232 Jackson Ave.,,Sutro Films LLC,,Zachary Shedd,Zachary Shedd,Kelli Garner,Jack Davenport,Peter Coyote
32,Americana,2015,20th St,,Sutro Films LLC,,Zachary Shedd,Zachary Shedd,Kelli Garner,Jack Davenport,Peter Coyote
33,Another 48 Hours,1990,,,Eddie Murphy Productions,Paramount Pictures,Walter Hill,Walter Hill,Eddie Murphy,Nick Nolte,
34,Ant-Man,2015,Conzelman Rd,Aerial shots,"PYM Particles Productions, LLC",Walt Disney Studios Motion Pictures,Peyton Reed,Gabriel Ferrari ,Michael Douglas,Paul Rudd,
35,Ant-Man,2015,Lombard,,"PYM Particles Productions, LLC",Walt Disney Studios Motion Pictures,Peyton Reed,Gabriel Ferrari ,Michael Douglas,Paul Rudd,
36,Ant-Man,2015,601 Buena Vista Ave West,,"PYM Particles Productions, LLC",Walt Disney Studios Motion Pictures,Peyton Reed,Gabriel Ferrari ,Michael Douglas,Paul Rudd,
37,Ant-Man,2015,420 Jones St.,,"PYM Particles Productions, LLC",Walt Disney Studios Motion Pictures,Peyton Reed,Gabriel Ferrari ,Michael Douglas,Paul Rudd,
38,Ant-Man,2015,Broadway,Driving shots,"PYM Particles Productions, LLC",Walt Disney Studios Motion Pictures,Peyton Reed,Gabriel Ferrari ,Michael Douglas,Paul Rudd,
39,Ant-Man,2015,Columbus,Driving shots,"PYM Particles Productions, LLC",Walt Disney Studios Motion Pictures,Peyton Reed,Gabriel Ferrari ,Michael Douglas,Paul Rudd,
40,Ant-Man,2015,Pine,Driving shots,"PYM Particles Productions, LLC",Walt Disney Studios Motion Pictures,Peyton Reed,Gabriel Ferrari ,Michael Douglas,Paul Rudd,
41,Ant-Man,2015,Market,Driving shots,"PYM Particles Productions, LLC",Walt Disney Studios Motion Pictures,Peyton Reed,Gabriel Ferrari ,Michael Douglas,Paul Rudd,
42,Ant-Man,2015,Grant,Driving shots,"PYM Particles Productions, LLC",Walt Disney Studios Motion Pictures,Peyton Reed,Gabriel Ferrari ,Michael Douglas,Paul Rudd,
43,Ant-Man,2015,Broadway,Driving shots,"PYM Particles Productions, LLC",Walt Disney Studios Motion Pictures,Peyton Reed,Gabriel Ferrari ,Michael Douglas,Paul Rudd,
44,Ant-Man,2015,California,Driving shots,"PYM Particles Productions, LLC",Walt Disney Studios Motion Pictures,Peyton Reed,Gabriel Ferrari ,Michael Douglas,Paul Rudd,
45,Ant-Man,2015,Treasure Island, Ave of the Palms",Aerial and exterior shots,"PYM Particles Productions, LLC",Walt Disney Studios Motion Pictures,Peyton Reed,Gabriel Ferrari ,Michael Douglas,Paul Rudd,
46,Around the Fire,1998,Ocean Beach,"On Jan. 25, 1878, the King Philip ship crashed in Ocean Beach. Occasionally, the ship's wreckage may be found on the beach-- most recently it was seen in 2007. ",Paradigm Studio,Ardustry Home Entertainment,John Jacobsen,John Comerford,Tara Reid,,
47,Attack of the Killer Tomatoes,1978,Cable Car,SF Cable Cars are the only moving National Historical Landmark.,Four Square Productions,NAI Entertainment,John DeBello,John DeBello,David Miller,,
48,Basic Instinct,1992,Yerba Buena Center for the Arts,,Carolco Pictures,TriStar Pictures,Paul Verhoeven,Joe Eszterhas,Michael Douglas,Sharon Stone,George Dzundza
49,Basic Instinct,1992,Mission Street,"Built in 1939, the Terminal linked San Francisco, the East Bay, and Sacramento by rail for the first time.",Carolco Pictures,TriStar Pictures,Paul Verhoeven,Joe Eszterhas,Michael Douglas,Sharon Stone,George Dzundza
50,Basic Instinct,1992,242 Columbus Avenue,,Carolco Pictures,TriStar Pictures,Paul Verhoeven,Joe Eszterhas,Michael Douglas,Sharon Stone,George Dzundza
51,Basic Instinct,1992,Steinhart Aquarium,"The Steinhart Aquarium is home to over 38,000 animals, which represent more than 900 species. ",Carolco Pictures,TriStar Pictures,Paul Verhoeven,Joe Eszterhas,Michael Douglas,Sharon Stone,George Dzundza
52,Basic Instinct,1992,280 Seventh Street,,Carolco Pictures,TriStar Pictures,Paul Verhoeven,Joe Eszterhas,Michael Douglas,Sharon Stone,George Dzundza
53,Basic Instinct,1992,Pier 7,,Carolco Pictures,TriStar Pictures,Paul Verhoeven,Joe Eszterhas,Michael Douglas,Sharon Stone,George Dzundza
54,Basic Instinct,1992,Kearney Street,,Carolco Pictures,TriStar Pictures,Paul Verhoeven,Joe Eszterhas,Michael Douglas,Sharon Stone,George Dzundza
55,Basic Instinct,1992,850 Bryant Street,,Carolco Pictures,TriStar Pictures,Paul Verhoeven,Joe Eszterhas,Michael Douglas,Sharon Stone,George Dzundza
56,Basic Instinct,1992,2930 Vallejo Street,,Carolco Pictures,TriStar Pictures,Paul Verhoeven,Joe Eszterhas,Michael Douglas,Sharon Stone,George Dzundza
57,Basic Instinct,1992,Chinatown,"First established in the mid-19th Century, SF's Chinatown is the oldest and largest Chinatown in the US.",Carolco Pictures,TriStar Pictures,Paul Verhoeven,Joe Eszterhas,Michael Douglas,Sharon Stone,George Dzundza
58,Basic Instinct,1992,Gibb Street (Chinatown),,Carolco Pictures,TriStar Pictures,Paul Verhoeven,Joe Eszterhas,Michael Douglas,Sharon Stone,George Dzundza
59,Basic Instinct,1992,1158-70 Montgomery Street,,Carolco Pictures,TriStar Pictures,Paul Verhoeven,Joe Eszterhas,Michael Douglas,Sharon Stone,George Dzundza
60,Basic Instinct,1992,2104 Broadway,,Carolco Pictures,TriStar Pictures,Paul Verhoeven,Joe Eszterhas,Michael Douglas,Sharon Stone,George Dzundza
61,GirlBoss,2017,Mission Dolores Park,"After the devastating earthquake of 1906, the park served as a refugee camp for more than 1600 families who lost their home in the disaster.","Hippolyta Productions, LLC",Netflix,"Jamie Babbit, Amanda Brotchie, Steven K. Tsuchida, Christian Ditter, John Riggi",Kay Cannon,Britt Robertson,Ellie Reed,Amanda Rea
62,GirlBoss,2017,Filbert,,"Hippolyta Productions, LLC",Netflix,"Jamie Babbit, Amanda Brotchie, Steven K. Tsuchida, Christian Ditter, John Riggi",Kay Cannon,Britt Robertson,Ellie Reed,Amanda Rea
63,GirlBoss,2017,Green,,"Hippolyta Productions, LLC",Netflix,"Jamie Babbit, Amanda Brotchie, Steven K. Tsuchida, Christian Ditter, John Riggi",Kay Cannon,Britt Robertson,Ellie Reed,Amanda Rea