OBJECTID,STOPNAME,TRAPEZESTOPABBR,RUCUSSTOPABBR,STOPID,LATITUDE,LONGITUDE,ACCESSIBILITYMASK,ATSTREET,ONSTREET,POSITION,ORIENTATION,SERVICEPLANNINGSTOPTYPE,SHELTER,INSERT_TIMESTAMP,SDE_ID,SIGNUPID,SUPERVISOR_DISTRICT,point,SF Find Neighborhoods,Current Police Districts,Current Supervisor Districts,Analysis Neighborhoods
9330,Divisadero St&Geary Blvd NE-FS/BZ,DIVIGEA1,DIVIGEAR,4421,37.783375,-122.439412,0,GEARY BLVD,DIVISADERO ST,FS,NE,BZ,1,04/20/2020 11:54:43 AM +0000,2209004,121,,"(37.78337005655907, -122.43939878083722)",103,4,11,15
10360,Bosworth St&Lippard Ave SW-NS/PS,BOSWLIP0,BOSWLIPP,3699,37.733827,-122.43597,0,LIPPARD AVE,BOSWORTH ST,NS,SW,,0,04/20/2020 11:54:43 AM +0000,2203317,121,,"(37.73382206038596, -122.43595678708697)",96,9,5,41
9180,Silver Ave&Gambier St SW-NS/PS,SILVGAM0,SILVGAMB,6407,37.728748,-122.422786,0,GAMBIER ST,SILVER AVE,NS,SW,,0,04/20/2020 11:54:43 AM +0000,2206807,121,,"(37.728743059844035, -122.42277278964266)",92,9,2,7
10227,Treasure Island Rd&Clipper Cove Way SE-NS/SB,TIRDCLCO,,8000,37.815757,-122.370979,,,AVENUE OF PALMS,,,,,04/20/2020 11:54:43 AM +0000,2210654,121,,"(37.815752048889834, -122.37096578730862)",,1,10,
10483,Castro St&Duboce Ave SE-NS/BZ,CTRODUB1,CTRODUBO,4331,37.76895,-122.43571,0,DUBOCE AVE,CASTRO ST,NS,SE,BZ,1,04/20/2020 11:54:43 AM +0000,2204387,121,,"(37.76894505747522, -122.43569678306233)",28,7,5,5
10361,Haight St&Divisadero St SE-FS/BZ,HAITDIV1,HAITDIVI,4951,37.771231,-122.436743,0,DIVISADERO ST,HAIGHT ST,FS,SE,BZ,1,04/20/2020 11:54:43 AM +0000,2205087,121,,"(37.77122605736295, -122.43672978264378)",26,4,11,3
8688,Castro St&18TH St SW-FS/BB,CTRO18S0,CTRO18ST,4315,37.760863,-122.435048,0,18TH ST,CASTRO ST,FS,SW,BB,0,04/20/2020 11:54:43 AM +0000,2203820,121,,"(37.76085805809237, -122.43503478409787)",38,3,5,5
8814,Cortland Ave&Bocana St SW-NS/BZ,CORTBOC0,CORTBOCN,4146,37.73931,-122.41872,0,BOCANA ST,CORTLAND AVE,NS,SW,BZ,0,04/20/2020 11:54:43 AM +0000,2203572,121,,"(37.73930505867698, -122.41870678903011)",61,9,2,2
9946,Castro St&22ND St NW-NS/PS,CTRO22S0,CTRO22ST,4322,37.75464,-122.43448,0,22ND ST,CASTRO ST,NS,NW,,0,04/20/2020 11:54:43 AM +0000,2207287,121,,"(37.75463505856322, -122.43446678490302)",115,3,5,22
8160,Fillmore St&Haight St SE-NS/BZ,FILLHAIT,FILLHAIT,4620,37.772033,-122.430347,0,WEBSTER ST,HAIGHT ST,FS,SW,,0,04/20/2020 11:54:43 AM +0000,2207293,121,,"(37.77202805682997, -122.43033378350614)",26,4,11,9
9464,Fillmore St&Union St NE-FS/BZ,FILLUNI1,FILLUNIN,4643,37.797391,-122.435489,0,UNION ST,FILLMORE ST,FS,NE,BZ,1,04/20/2020 11:54:43 AM +0000,2207296,121,,"(37.797386055120086, -122.43547577979638)",15,4,6,13
8690,Silver Ave&Mission St SE-FS/BZ,SILVMIS0,SILVMISS,6415,37.72866,-122.431217,0,MISSION ST,SILVER AVE,FS,SE,BZ,0,04/20/2020 11:54:43 AM +0000,2208514,121,,"(37.728655060465414, -122.43120378839355)",90,9,1,7
9195,Palou Ave&Phelps St W-NS/PS,PALUPHL0,PALUPHLP,5880,37.7361,-122.39481,0,PHELPS ST,PALOU AVE,NS,W,,0,04/20/2020 11:54:43 AM +0000,2209864,121,,"(37.73609505719948, -122.39479679297493)",87,2,9,1
10555,30th St&Church St NE-NS/BZ,30STCHU1,30STCHUR,3535,37.742159,-122.426369,0,CHURCH ST,30TH ST,NS,NE,BZ,0,04/20/2020 11:54:43 AM +0000,2203455,121,,"(37.74215405899976, -122.4263557875581)",84,9,5,22
7422,Middle Point Rd&West Point Rd SW-FS,MDPTWPT3,MDPTWPTS,5504,37.73502,-122.37947,0,WEST POINT RD,MIDDLE POINT RD,FS,SW,,0,04/20/2020 11:54:43 AM +0000,2205443,121,,"(37.73501505617105, -122.37945679539416)",86,2,9,1
8218,Steiner St&Green St SE-NS/PS,STEIGRE1,STEIGREN,6487,37.795859,-122.436863,0,GREEN ST,STEINER ST,NS,SE,,0,04/20/2020 11:54:43 AM +0000,2208718,121,,"(37.79585405534647, -122.43684977976906)",102,4,6,13
7908,Church St&Duboce Ave NW-NS/BZ,CHURDUB0,CHURDUBO,4005,37.769499,-122.429167,0,DUBOCE AVE,CHURCH ST,NS,NW,SI,0,04/20/2020 11:54:43 AM +0000,2203698,121,,"(37.76949405695233, -122.42915378397605)",28,7,5,9
8816,O'Farrell St&Larkin St SE-FS/BZ,OFARLAR1,OFARLARK,5813,37.785138,-122.4177,0,LARKIN ST,OFARRELL ST,FS,SE,BZ,0,04/20/2020 11:54:43 AM +0000,2206032,121,,"(37.785133054827654, -122.41768678387638)",20,5,10,36
8324,Geary Blvd&33RD Ave SW-NS/BZ,GEAR33A1,GEAR33AV,4279,37.779574,-122.493399,0,33RD AVE,GEARY BLVD,NS,SW,BZ,1,04/20/2020 11:54:43 AM +0000,2209579,121,,"(37.77956906081609, -122.49338577322317)",8,8,4,29
8565,Castro St&24TH St SE-NS/BZ,CTRO24S1,CTRO24ST,4326,37.7512,-122.43401,0,24TH ST,CASTRO ST,NS,SE,BZ,0,04/20/2020 11:54:43 AM +0000,2206490,121,,"(37.75119505881217, -122.43399678537124)",84,3,5,22
10815,30th St&Sanchez St SW-NS/PS,30STSNC0,30STSNCZ,3544,37.74191,-122.42902,0,SANCHEZ ST,30TH ST,NS,SW,,0,04/20/2020 11:54:43 AM +0000,2203116,121,,"(37.741905059213515, -122.42900678719083)",59,9,5,10
10560,Mission St&20th St NE-FS/BZ,MISS20S1,MISS20ST,5557,37.75911,-122.41902,0,20TH ST,MISSION ST,FS,NE,BZ,1,04/20/2020 11:54:43 AM +0000,2205601,121,,"(37.759105057067245, -122.41900678669516)",53,3,2,20
8959,Market St&3rd St E-FS/BZ,MRKT.3ST,MRKT.3ST,5641,37.787667,-122.403359,0,GEARY ST,MARKET ST,NS,S,BZ,0,04/20/2020 11:54:43 AM +0000,2206153,121,,"(37.787662053571545, -122.40334578572674)",32,6,3,8
7913,Mission St&Appleton Ave E-FS/BZ,MISSAPT1,MISSAPTN,5577,37.738867,-122.423871,0,APPLETON AVE,MISSION ST,FS,E,BZ,0,04/20/2020 11:54:43 AM +0000,2205543,121,,"(37.73886205908896, -122.42385778831175)",61,9,2,2
10992,Newcomb Ave&La Salle Ave E-FS/PS,NEWCLSA0,NEWCLSAL,5488,37.733044,-122.384858,0,LA SALLE AVE,NEWCOMB AVE,FS,E,,0,04/20/2020 11:54:43 AM +0000,2205437,121,,"(37.73303905672677, -122.38484479481633)",86,2,9,1
9626,Castro St&18TH St SE-NS/BB,CTRO18S1,CTRO18ST,4314,37.760836,-122.434934,0,18TH ST,CASTRO ST,NS,SE,BB,0,04/20/2020 11:54:43 AM +0000,2203819,121,,"(37.76083105808628, -122.43492078411803)",38,3,5,5
9554,Noe St&27th St NW-NS/PS,NOE 27S0,NOE 27ST,5732,37.74668,-122.43148,0,27TH ST,NOE ST,NS,NW,,0,04/20/2020 11:54:43 AM +0000,2205355,121,,"(37.746675058999934, -122.43146678627193)",84,9,5,22
10888,Castro St&19TH St NW-NS/PS,CTRO19S0,CTRO19ST,4316,37.75939,-122.43491,0,19TH ST,CASTRO ST,NS,NW,,0,04/20/2020 11:54:43 AM +0000,2203822,121,,"(37.75938505820356, -122.43489678428902)",38,3,5,5
9622,Mission St&Geneva Ave E-FS/BB,MISSGNV1,MISSGNVA,5593,37.716642,-122.440782,0,GENEVA AVE,MISSION ST,FS,W,BZ,1,04/20/2020 11:54:43 AM +0000,2205572,121,,"(37.716637062152444, -122.44076878835239)",90,9,1,7
9231,Woodside Ave&Hernandez Ave SW-NS,WDSDHRD0,WDSDHRDZ,6935,37.746283,-122.455593,0,HERNANDEZ AVE,WOODSIDE AVE,FS,SE,,0,04/20/2020 11:54:43 AM +0000,2209791,121,,"(37.746278060790914, -122.45557978271786)",49,7,8,41
9019,Silver Ave&Palou Ave S-NS/PS,SILVPAL0,SILVPALU,6416,37.7371,-122.39663,0,PALOU AVE,SILVER AVE,NS,S,,0,04/20/2020 11:54:43 AM +0000,2208516,121,,"(37.737095057249526, -122.39661679258728)",87,2,9,1
8005,Mission St&4th St W-FS/BZ,MISS 4S0,MISS 4ST,5534,37.78436,-122.40452,0,04TH ST,MISSION ST,FS,W,BZ,1,04/20/2020 11:54:43 AM +0000,2209095,121,,"(37.784355053928735, -122.40450678593675)",32,1,10,34
10543,6 Portola Dr NW-MB/SB,PORTH  6,PORTH  6,6008,37.749951,-122.443483,0,CORBETT AVE,PORTOLA DR,MB,NW,,0,04/20/2020 11:54:43 AM +0000,2206866,121,,"(37.749946059605925, -122.4434697841012)",51,3,5,38
9233,Woodside Ave&Portola Dr N-FS/BZ,WDSDPOR1,WDSDPORT,6937,37.745766,-122.452431,0,PORTOLA DR,WOODSIDE AVE,FS,N,BZ,0,04/20/2020 11:54:43 AM +0000,2207197,121,,"(37.74576106060287, -122.45241778324952)",49,7,8,38
8461,Geary Blvd&36TH Ave NE-NS/BZ,GEAR36A0,GEAR36AV,4280,37.779671,-122.496402,0,36TH AVE,GEARY BLVD,NS,NE,BZ,0,04/20/2020 11:54:43 AM +0000,2203854,121,,"(37.779666061027534, -122.49638877276423)",8,8,4,29
9190,16th St&San Bruno Ave SE-FS/BZ,16STSBR0,16STSBRO,3297,37.765861,-122.405515,0,SAN BRUNO AVE,16TH ST,FS,SE,BZ,0,04/20/2020 11:54:43 AM +0000,2210373,121,,"(37.765856055525425, -122.40550178793198)",54,3,9,20
10918,Steuart St&Mission St NE-MB/BZ,STEUTER0,STEUTERM,6497,37.793713,-122.393713,0,MISSION ST,STEUART ST,,**,DS,0,04/20/2020 11:54:43 AM +0000,2210071,121,,"(37.793708052368615, -122.39369978646764)",108,6,3,8
9663,Newhall St&Oakdale Ave N-NS/SB,NEWHOAK1,NEWHOAKD,5491,37.735796,-122.392175,0,OAKDALE AVE,NEWHALL ST,NS,N,,0,04/20/2020 11:54:43 AM +0000,2205438,121,,"(37.73579105703255, -122.39216179340411)",86,2,9,1
9108,Castro St&Duboce Ave NW-NS/BZ,CTRODUB0,CTRODUBO,4330,37.76918,-122.43596,0,DUBOCE AVE,CASTRO ST,NS,NW,BZ,1,04/20/2020 11:54:43 AM +0000,2206536,121,,"(37.76917505747453, -122.43594678299841)",112,7,5,3
8181,18th St&Texas St SE-FS/BZ,18STTEX0,18STTEXS,3347,37.762621,-122.39516,0,TEXAS ST,18TH ST,FS,SE,BZ,0,04/20/2020 11:54:43 AM +0000,2203025,121,,"(37.76261605503692, -122.39514678985545)",54,2,9,26
8952,Silver Ave&Boylston St W-FS/PS,SILVBOY1,SILVBOYL,6396,37.730913,-122.410839,0,BOYLSTON ST,SILVER AVE,FS,W,,0,04/20/2020 11:54:43 AM +0000,2209188,121,,"(37.73090805879523, -122.41082579117781)",91,2,2,25
8657,The Embarcadero&Broadway NE-FS/SI,EMBRBDW1,EMBRBDWY,4503,37.799552,-122.397869,0,BROADWAY,THE EMBARCADERO,FS,NE,SI,0,04/20/2020 11:54:43 AM +0000,2204181,121,,"(37.799547052191535, -122.39785578516818)",77,6,3,8
8405,Geary Blvd&Collins St NE-NS/BZ,GEARCLN0,GEARCLNS,4290,37.782242,-122.449992,0,COLLINS ST,GEARY BLVD,NS,NE,BZ,1,04/20/2020 11:54:43 AM +0000,2204106,121,,"(37.78223705742528, -122.44997877938893)",11,8,6,31
10210,26th St&Noe St SW-NS/PS,26STNOE0,26STNOE,3521,37.748174,-122.431636,0,NOE ST,26TH ST,NS,SW,,1,04/20/2020 11:54:43 AM +0000,2208239,121,,"(37.74816905888824, -122.43162278607583)",84,3,5,22
10718,Middle Point Rd&West Point Rd SE-NS,MDPTWPT2,MDPTWPTS,5503,37.735164,-122.379323,0,WEST POINT RD,MIDDLE POINT RD,NS,SE,,0,04/20/2020 11:54:43 AM +0000,2206989,121,,"(37.73515905614843, -122.37930979539946)",76,2,9,1
10567,Cortland Ave&Bradford St N-MB/PS,CORTBRF1,CORTBRFD,4147,37.739791,-122.409746,0,BRADFORD ST,CORTLAND AVE,MB,N,,0,04/20/2020 11:54:43 AM +0000,2209053,121,,"(37.73978605798334, -122.40973279031556)",83,9,2,2
10522,Hudson Ave&Ingalls St W-NS/PS,HUDSING0,HUDSINGL,5045,37.73239,-122.379692,0,INGALLS ST,HUDSON AVE,NS,SW,FL,0,04/20/2020 11:54:43 AM +0000,2206646,121,,"(37.73238505640449, -122.3796787956646)",86,2,9,1
8561,O'Shaughnessy Blvd&Malta Dr NE-FS,OSHAMAL1,OSHAMALT,5832,37.736611,-122.443301,0,MALTA DR,O SHAUGHNESSY BLVD,FS,NE,,0,04/20/2020 11:54:43 AM +0000,2206056,121,,"(37.73660606069086, -122.44328778567073)",96,9,5,10
10367,Mission St&14th St NE-FS/BZ,MISS14S1,MISS14ST,5547,37.76862,-122.41993,0,14TH ST,MISSION ST,FS,NE,BZ,0,04/20/2020 11:54:43 AM +0000,2205588,121,,"(37.76861505635037, -122.41991678545794)",53,3,2,20
10648,Avenue H&9TH TI St SE-NS/PS,AVEH.9TH,,7557,37.825232,-122.369914,0,AVENUE H,9TH TI ST,,,,0,04/20/2020 11:54:43 AM +0000,2210567,121,,"(37.82522704803125, -122.36990078636602)",36,1,10,37
8032,Mission St&Sickles Ave W-FS/BZ,MISSSIC0,MISSSICK,5619,37.70866,-122.45332,0,SICKLES AVE,MISSION ST,FS,W,BZ,0,04/20/2020 11:54:43 AM +0000,2205499,121,,"(37.70865506372278, -122.45330678740153)",66,9,1,28
10161,Ferry Plaza S-MB/BZ,FRRYPLA1,FRRYPLAZ,4727,37.793918,-122.393438,0,GODEUS ST,MUNI METRO TNL,MB,S,,0,04/20/2020 11:54:43 AM +0000,2204093,121,,"(37.79391305233164, -122.39342478648499)",108,6,3,8
8773,17th St&De Haro St OB SW-NS/PS,17STDHR0,17STDHRO,3313,37.764771,-122.401711,0,17TH ST,DE HARO ST,NS,SW,,0,04/20/2020 11:54:43 AM +0000,2203187,121,,"(37.76476605533766, -122.40169778862695)",54,1,9,26
8403,O'Shaughnessy Blvd&Portola Dr S-FS,OSHAPOR0,OSHAPORT,5834,37.744999,-122.451308,0,PORTOLA DR,O SHAUGHNESSY BLVD,FS,S,,0,04/20/2020 11:54:43 AM +0000,2206057,121,,"(37.74499406058411, -122.45129478350584)",72,9,8,41
9395,Fillmore St&Broadway SE-NS/BZ,FILLBDW1,FILLBDWY,4604,37.794158,-122.434842,0,BROADWAY,FILLMORE ST,NS,SE,BZ,0,04/20/2020 11:54:43 AM +0000,2204371,121,,"(37.79415305533851, -122.4348287802684)",102,4,6,30
7798,Noe St&28th St NW-NS/PS,NOE 28S0,NOE 28ST,5734,37.74519,-122.43134,0,28TH ST,NOE ST,NS,NW,,0,04/20/2020 11:54:43 AM +0000,2205357,121,,"(37.74518505911241, -122.43132678646509)",84,9,5,22
8109,Steiner St&Vallejo St W-MI/PS,STEIVAL0,STEIVALL,6493,37.794887,-122.436789,0,VALLEJO ST,STEINER ST,MI,W,,0,04/20/2020 11:54:43 AM +0000,2206581,121,,"(37.79488205542098, -122.43677577989291)",102,4,6,30
7702,Jackson St&Scott St SW-NS/PS,JACKSCO1,JACKSCOT,5161,37.791772,-122.439612,0,SCOTT ST,JACKSON ST,NS,SW,,0,04/20/2020 11:54:43 AM +0000,2205184,121,,"(37.79176705588337, -122.43959877983298)",102,4,6,30
9854,Mission St&6th St W-FS/BZ,MISS 6S0,MISS 6ST,5538,37.78075,-122.4091,0,6TH ST,MISSION ST,FS,W,BZ,0,04/20/2020 11:54:43 AM +0000,2205214,121,,"(37.78074505456064, -122.40908678567071)",32,1,10,34
10900,Mission St&26th St NE-FS/BZ,MISS26S1,MISS26ST,5567,37.74951,-122.4181,0,26TH ST,MISSION ST,FS,NE,BZ,0,04/20/2020 11:54:43 AM +0000,2205612,121,,"(37.74950505779106, -122.41808678794345)",53,3,2,20
8100,Geary Blvd&6TH Ave SW-NS/BZ,GEAR 6A1,GEAR 6AV,4258,37.780902,-122.464377,0,6TH AVE,GEARY BLVD,NS,SW,BZ,0,04/20/2020 11:54:43 AM +0000,2203929,121,,"(37.78089705858647, -122.46436377739742)",5,8,4,11
7776,Divisadero St&California St SW-FS,DIVICAL0,DIVICALI,4410,37.787988,-122.4405,0,PINE ST,DIVISADERO ST,FS,SW,BZ,0,04/20/2020 11:54:43 AM +0000,2204039,121,,"(37.78798305625932, -122.44048678013951)",103,4,6,30
9243,Fillmore St&North Point St SE-NS/PS,FILLN P0,FILLN PT,4630,37.803547,-122.436791,0,NORTH POINT ST,FILLMORE ST,NS,SE,,0,04/20/2020 11:54:43 AM +0000,2204605,121,,"(37.803542054709354, -122.43677777888682)",17,4,6,13
11236,O'Shaughnessy Blvd&Malta Dr SW-FS,OSHAMAL0,OSHAMALT,5833,37.736478,-122.443782,0,MALTA DR,O SHAUGHNESSY BLVD,FS,SW,,0,04/20/2020 11:54:43 AM +0000,2206449,121,,"(37.73647306073686, -122.4437687856143)",72,9,8,41
7778,Jackson St&Divisadero St NE-NS/PS,JACKDIV0,JACKDIVI,5145,37.791724,-122.440888,0,DIVISADERO ST,JACKSON ST,NS,NE,,0,04/20/2020 11:54:43 AM +0000,2206437,121,,"(37.791719055980614, -122.44087477964793)",102,4,6,30
9054,Fillmore St&McAllister St SE-NS/BZ,FILLMCA1,FILLMCAL,4628,37.77854,-122.431687,0,MCALLISTER ST,FILLMORE ST,NS,SE,BZ,1,04/20/2020 11:54:43 AM +0000,2210181,121,,"(37.778535056392414, -122.43167378255175)",97,4,11,39
9433,Ingalls St&Harbor Rd NW-NS/PS,INGLHRB1,INGLHRBR,5107,37.73347,-122.380023,0,HARBOR RD,INGALLS ST,NS,NW,,0,04/20/2020 11:54:43 AM +0000,2204800,121,,"(37.73346505633938, -122.3800097954904)",86,2,9,1
8223,Fillmore St&Haight St SW-FS/SB,FILLHAI2,,7636,37.772069,-122.430473,,LAUSSAT ST,FILLMORE ST,,,,,04/20/2020 11:54:43 AM +0000,2210524,121,,"(37.77206405683617, -122.43045978348319)",26,4,11,9
11119,30th St&Noe St NE-NS/PS,30STNOE1,30STNOE,3542,37.74188,-122.43079,0,NOE ST,30TH ST,NS,NE,,0,04/20/2020 11:54:43 AM +0000,2203114,121,,"(37.741875059344956, -122.43077678692994)",84,9,5,22
8659,Transit Center Bay E,TBT BAYE,,7917,37.789841,-122.395321,0,MISSION ST,BEALE ST,,,,0,04/20/2020 11:54:43 AM +0000,2210543,121,,"(37.78983605280513, -122.3953077866765)",32,1,10,8
10917,Market St&Main St S-NS/SI,MRKTMAI1,MRKTMAIN,5682,37.792984,-122.396627,0,MAIN ST,MARKET ST,NS,S,SI,0,04/20/2020 11:54:43 AM +0000,2205972,121,,"(37.79297905264165, -122.39661378611645)",108,6,10,8
10432,Mission St&16th St SW-FS/BB,MISS16S0,MISS16ST,5552,37.765036,-122.419726,0,MISSION ST,16TH ST,FS,SW,BB,1,04/20/2020 11:54:43 AM +0000,2209644,121,,"(37.76503105663062, -122.41971278590358)",53,3,2,20
9245,Silver Ave&Mission St E-NS/BZ,SILVMIS1,SILVMISS,6414,37.728776,-122.431114,0,MISSION ST,SILVER AVE,FS,N,,1,04/20/2020 11:54:43 AM +0000,2207298,121,,"(37.72877106044835, -122.4311007883955)",94,9,1,7
10260,16th St&Dolores St NE-NS/PS,16STDLR1,16STDLRS,3284,37.764731,-122.426156,0,DOLORES ST,16TH ST,NS,NE,,1,04/20/2020 11:54:43 AM +0000,2202613,121,,"(37.76472605712503, -122.42614278497815)",37,3,5,20
11261,Mission St&7th St E-FS/BZ,MISS07S1,,7129,37.779354,-122.410505,0,7TH ST,MISSION ST,FS,E,BZ,0,04/20/2020 11:54:43 AM +0000,2207616,121,,"(37.77934905477822, -122.41049178562253)",32,1,10,34
10777,Gateview Ave&Northpoint Dr NE-MB,GTVWNRP0,GTVWNRPT,4936,37.82982,-122.373477,0,NORTH POINT ST,GATEVIEW AVE,MB,NE,FL,0,04/20/2020 11:54:43 AM +0000,2205044,121,,"(37.82981504791419, -122.37346378529867)",36,1,10,37
10061,Mission St&Bosworth St SW-FS/BZ,MISSBOS1,MISSBOSW,5580,37.73334,-122.42682,0,BOSWORTH ST,MISSION ST,FS,SW,BZ,0,04/20/2020 11:54:43 AM +0000,2206976,121,,"(37.733335059759355, -122.42680678850977)",93,9,5,28
10990,The Embarcadero&Howard St NE-FS/SB,EMBRHWR1,EMBRHWRD,4519,37.792686,-122.391146,0,HOWARD ST,THE EMBARCADERO,FS,NE,,0,04/20/2020 11:54:43 AM +0000,2204361,121,,"(37.79268105226561, -122.39113278697081)",108,1,10,8
8660,Main St&Market St NE-MB/BB,MAINMRK1,MAINMRKT,5336,37.79253,-122.39567,0,MARKET ST,MAIN ST,MB,NE,BZ,0,04/20/2020 11:54:43 AM +0000,2205428,121,,"(37.7925250526091, -122.39565678631224)",108,6,10,8
8812,Noe St&27th St SE-NS/PS,NOE 27S1,NOE 27ST,5733,37.74654,-122.43132,0,27TH ST,NOE ST,NS,SE,,0,04/20/2020 11:54:43 AM +0000,2205356,121,,"(37.74653505899975, -122.431306786312)",84,9,5,22
8423,Mission St&Brazil Ave S-NS/BZ,MISSBRZ1,MISSBRZL,5582,37.72454,-122.43481,0,BRAZIL AVE,MISSION ST,NS,S,BZ,1,04/20/2020 11:54:43 AM +0000,2205552,121,,"(37.72453506106668, -122.43479678833266)",90,9,1,7
10635,Mission St&8th St E-FS/BZ,MISS.8S1,MISS.8ST,5541,37.7777,-122.41273,0,8TH ST,MISSION ST,FS,E,BZ,1,04/20/2020 11:54:43 AM +0000,2205215,121,,"(37.777695055076904, -122.41271678548173)",32,1,10,34
9569,O'Farrell St&Van Ness Ave SW-NS/BZ,OFARV.N1,OFARV.N.,5818,37.784657,-122.421415,0,VAN NESS AVE,OFARRELL ST,NS,SW,BB,1,04/20/2020 11:54:43 AM +0000,2206036,121,,"(37.78465205513864, -122.421401783377)",100,4,11,39
7706,Castro St&25TH St NW-NS/BZ,CTRO25S0,CTRO25ST,4328,37.74981,-122.43404,0,25TH ST,CASTRO ST,NS,NW,BZ,0,04/20/2020 11:54:43 AM +0000,2204385,121,,"(37.74980505892884, -122.43402678552752)",84,3,5,22
7986,Mission St&Excelsior Ave E-FS/BZ,MISSEXC1,MISSEXCL,5586,37.726355,-122.43351,0,EXCELSIOR AVE,MISSION ST,FS,E,BZ,0,04/20/2020 11:54:43 AM +0000,2205333,121,,"(37.72635006082243, -122.43349678831724)",90,9,1,7
7717,Cortland Ave&Folsom St SW-NS/BZ,CORTFOL0,CORTFOLS,4154,37.73892,-122.41343,0,FOLSOM ST,CORTLAND AVE,NS,SW,BZ,1,04/20/2020 11:54:43 AM +0000,2203577,121,,"(37.738915058323634, -122.41341678986565)",83,9,2,2
