CNN,STREET,ST_TYPE,STREET_GC,FROM_ST,TO_ST,SPEEDLIMIT,SCHOOLZONE,SCHOOLZONE_LIMIT,MTAB_DATE,MTAB_MOTION,MTAB_RESO_TEXT,STATUS,WORKORDER,shape
0,,,,,,15,true,,,,,,,"LINESTRING (-122.41218468009401 37.75582756783955, -122.41203405430194 37.7542253879606)"
111000,01ST,ST,,FOLSOM ST,GUY PL,25,,,,,,,,"LINESTRING (-122.39446806109709 37.78729326795326, -122.39390772823268 37.78684681994905)"
104000,01ST,ST,,MISSION ST,MINNA ST,25,,,,,,,,"LINESTRING (-122.3975612543486 37.78975765097622, -122.39702158147918 37.78932770397223)"
106000,01ST,ST,,NATOMA ST,HOWARD ST,25,,,,,,,,"LINESTRING (-122.39655755259147 37.78895801696876, -122.39602155172119 37.7885309829648)"
113000,01ST,ST,,LANSING ST,HARRISON ST,25,,,,,,,,"LINESTRING (-122.39343152134795 37.78646739094557, -122.39292347347089 37.78606258494178)"
105000,01ST,ST,,MINNA ST,NATOMA ST,25,,,,,,,,"LINESTRING (-122.39702158147918 37.78932770397223, -122.39655755259147 37.78895801696876)"
112000,01ST,ST,,GUY PL,LANSING ST,25,,,,,,,,"LINESTRING (-122.39390772823268 37.78684681994905, -122.39343152134795 37.78646739094557)"
107000,01ST,ST,,HOWARD ST,TEHAMA ST,25,,,,,,,,"LINESTRING (-122.39602155172119 37.7885309829648, -122.39546473685591 37.78808723596066)"
110000,01ST,ST,,CLEMENTINA ST,FOLSOM ST,25,,,,,,,,"LINESTRING (-122.39499462796971 37.78771266795718, -122.39446806109709 37.78729326795326)"
101000,01ST,ST,,STEVENSON ST,JESSIE ST,25,,,,,,,,"LINESTRING (-122.39857629710295 37.79056627798382, -122.39814647820695 37.79022384798062)"
102000,01ST,ST,,JESSIE ST,ELIM ST,25,,,,,,,,"LINESTRING (-122.39814647820695 37.79022384798062, -122.39792535826047 37.79004772097894)"
109000,01ST,ST,,TENNY PL,CLEMENTINA ST,25,,,,,,,,"LINESTRING (-122.39540793886967 37.78804201096021, -122.39499462796971 37.78771266795718)"
108000,01ST,ST,,TEHAMA ST,TENNY PL,25,,,,,,,,"LINESTRING (-122.39546473685591 37.78808723596066, -122.39540793886967 37.78804201096021)"
103000,01ST,ST,,ELIM ST,MISSION ST,25,,,,,,,,"LINESTRING (-122.39792535826047 37.79004772097894, -122.3975612543486 37.78975765097622)"
100000,01ST,ST,,MARKET ST,STEVENSON ST,25,,,,,,,,"LINESTRING (-122.39913538496765 37.79101170198802, -122.39857629710295 37.79056627798382)"
127000,02ND,AVE,,LINCOLN WAY,HUGO ST,0,,,,,,,,"LINESTRING (-122.45893367090547 37.766250665393244, -122.4588673120256 37.76529937946657)"
118000,02ND,AVE,,START: 1-99 BLOCK,LAKE ST,0,,,,,,,,"LINESTRING (-122.46041867924973 37.787243984776865, -122.46039097629834 37.786860815806286)"
129000,02ND,ST,,MARKET ST,STEVENSON ST,0,,,,,,,,"LINESTRING (-122.40136227783798 37.78925937629505, -122.40079908897428 37.788810550290826)"
149000,02ND,ST,,KING ST,BERRY ST,0,,,,,,,,"LINESTRING (-122.38957748469112 37.77985633920891, -122.3888562518647 37.77928959620292)"
137000,02ND,ST,,CLEMENTINA ST,FOLSOM ST,0,,,,,,,,"LINESTRING (-122.3972212468401 37.78595904426434, -122.3966919639682 37.78553718326042)"
119000,02ND,AVE,,LAKE ST,CALIFORNIA ST,0,,,,,,,,"LINESTRING (-122.46039097629834 37.786860815806286, -122.46029502246668 37.785533612908324)"
140000,02ND,ST,,HARRISON ST,STILLMAN ST,0,,,,,,,,"LINESTRING (-122.39514740934202 37.78430606524901, -122.39413730258671 37.78349856224177)"
124000,02ND,AVE,,ANZA ST,BALBOA ST,0,,,,,,,,"LINESTRING (-122.45984715225923 37.779277687389474, -122.45971160049429 37.777424921531775)"
136000,02ND,ST,,TEHAMA ST,CLEMENTINA ST,0,,,,,,,,"LINESTRING (-122.39769127172639 37.78633366826778, -122.3972212468401 37.78595904426434)"
147000,02ND,ST,,BRANNAN ST,TOWNSEND ST,0,,,,,,,,"LINESTRING (-122.39206423708899 37.78184122322689, -122.39051402146458 37.78060181021582)"
145000,02ND,ST,,SOUTH PARK,DE BOOM ST,0,,,,,,,,"LINESTRING (-122.39282839590388 37.78245215323237, -122.39259943295932 37.782269102230764)"
132000,02ND,ST,,MISSION ST,MINNA ST,0,,,,,,,,"LINESTRING (-122.39978481021974 37.78800221428331, -122.39924183535055 37.787574331278904)"
126000,02ND,AVE,,CABRILLO ST,FULTON ST,0,,,,,,,,"LINESTRING (-122.4595752787307 37.77556151867493, -122.4594728969082 37.77416199278244)"
134000,02ND,ST,,NATOMA ST,HOWARD ST,0,,,,,,,,"LINESTRING (-122.39877638646374 37.787198516275865, -122.39824374959267 37.78677400327187)"
122000,02ND,AVE,,CLEMENT ST,GEARY BLVD,0,,,,,,,,"LINESTRING (-122.46012397777089 37.783131546093124, -122.45998643601449 37.78120853624099)"
135000,02ND,ST,,HOWARD ST,TEHAMA ST,0,,,,,,,,"LINESTRING (-122.39824374959267 37.78677400327187, -122.39769127172639 37.78633366826778)"
130000,02ND,ST,,STEVENSON ST,JESSIE ST,0,,,,,,,,"LINESTRING (-122.40079908897428 37.788810550290826, -122.40033063608766 37.788437216287385)"
123000,02ND,AVE,,GEARY BLVD,ANZA ST,0,,,,,,,,"LINESTRING (-122.45998643601449 37.78120853624099, -122.45984715225923 37.779277687389474)"
125000,02ND,AVE,,BALBOA ST,CABRILLO ST,0,,,,,,,,"LINESTRING (-122.45971160049429 37.777424921531775, -122.4595752787307 37.77556151867493)"
131000,02ND,ST,,JESSIE ST,MISSION ST,0,,,,,,,,"LINESTRING (-122.40033063608766 37.788437216287385, -122.39978481021974 37.78800221428331)"
128000,02ND,AVE,,HUGO ST,IRVING ST,0,,,,,,,,"LINESTRING (-122.4588673120256 37.76529937946657, -122.45880184814408 37.764360919538944)"
133000,02ND,ST,,MINNA ST,NATOMA ST,0,,,,,,,,"LINESTRING (-122.39924183535055 37.787574331278904, -122.39877638646374 37.787198516275865)"
141000,02ND,ST,,STILLMAN ST,BRYANT ST,0,,,,,,,,"LINESTRING (-122.39413730258671 37.78349856224177, -122.39360486271573 37.78307290723793)"
142000,02ND,ST,,BRYANT ST,TABER PL,0,,,,,,,,"LINESTRING (-122.39360486271573 37.78307290723793, -122.39328400879347 37.78281639823563)"
143000,02ND,ST,,TABER PL,FEDERAL ST,0,,,,,,,,"LINESTRING (-122.39328400879347 37.78281639823563, -122.39306926284553 37.782644718234096)"
144000,02ND,ST,,FEDERAL ST,SOUTH PARK,0,,,,,,,,"LINESTRING (-122.39306926284553 37.782644718234096, -122.39282839590388 37.78245215323237)"
146000,02ND,ST,,DE BOOM ST,BRANNAN ST,0,,,,,,,,"LINESTRING (-122.39259943295932 37.782269102230764, -122.39206423708899 37.78184122322689)"
148000,02ND,ST,,TOWNSEND ST,KING ST,0,,,,,,,,"LINESTRING (-122.39051402146458 37.78060181021582, -122.38957748469112 37.77985633920891)"
138000,02ND,ST,,FOLSOM ST,DOW PL,0,,,,,,,,"LINESTRING (-122.3966919639682 37.78553718326042, -122.39588248816408 37.78489198225443)"
139000,02ND,ST,,DOW PL,HARRISON ST,0,,,,,,,,"LINESTRING (-122.39588248816408 37.78489198225443, -122.39514740934202 37.78430606524901)"
121000,02ND,AVE,,CORNWALL ST,CLEMENT ST,0,,,,,,,,"LINESTRING (-122.46025637853418 37.78500133994918, -122.46012397777089 37.783131546093124)"
120000,02ND,AVE,,CALIFORNIA ST,CORNWALL ST,0,,,,,,,,"LINESTRING (-122.46029502246668 37.785533612908324, -122.46025637853418 37.78500133994918)"
167000,03RD,ST,,MINNA ST,HOWARD ST,25,,,,,,,,"LINESTRING (-122.4014766212194 37.785824267586335, -122.40045527046479 37.78502533757755)"
165000,03RD,ST,,JESSIE ST,MISSION ST,25,,,,,,,,"LINESTRING (-122.40256201395862 37.786673262595706, -122.40201220609069 37.78624320559095)"
210101,03RD,ST,,MCKINNON AVE,NEWCOMB AVE,25,,,,,,,,"LINESTRING (-122.39013184463904 37.736385251835635, -122.39010287365862 37.73625291284444, -122.39030814369575 37.73566623590781, -122.39040305769088 37.735585577921405)"
213201,03RD,ST,,PALOU AVE,QUESADA AVE,25,,,,,,,,"LINESTRING (-122.39095468379048 37.734008929091736, -122.39105392478496 37.733928001105674, -122.39125095882055 37.73336482116649, -122.3912312868404 37.73321831917721)"
212101,03RD,ST,,OAKDALE AVE,PALOU AVE,25,,,,,,,,"LINESTRING (-122.39068056574098 37.73479241600713, -122.39066225875969 37.73465412501715, -122.39086077279552 37.7340867270785, -122.39095468379048 37.734008929091736)"
214201,03RD,ST,,QUESADA AVE,REVERE AVE,25,,,,,,,,"LINESTRING (-122.3912312868404 37.73321831917721, -122.39132980883478 37.73313944319086, -122.39152680187036 37.73257636725172, -122.39150814389038 37.73242696626269)"
203101,03RD,ST,,FAIRFAX AVE,GALVEZ AVE,25,,,,,,,,"LINESTRING (-122.3881871372945 37.7418841192399, -122.38816097931144 37.74177163524728, -122.38837351934932 37.74116883131257, -122.3884626873436 37.741102688324546)"
197201,03RD,ST,,MARIN ST,CARGO WAY,30,,,,,,,,"LINESTRING (-122.38744310358317 37.74899981459834, -122.38750276658496 37.74890714861033, -122.38726824591849 37.746326408806276, -122.38716101095463 37.746152183812804)"
226201,03RD,ST,,EGBERT AVE,FITZGERALD AVE,25,,,,,,,,"LINESTRING (-122.39491294635783 37.72396762220917, -122.39505052234912 37.72386511922765, -122.39528331837312 37.723355557286716, -122.39525144139378 37.72321739229579)"
195201,03RD,ST,,26TH ST,CESAR CHAVEZ ST,30,,,,,,,,"LINESTRING (-122.38762076726115 37.751554658400416, -122.38768297126333 37.75145507841318, -122.38763920339609 37.75036366350004, -122.38757206241833 37.750258433503845)"
168000,03RD,ST,,HOWARD ST,CLEMENTINA ST,25,,,,,,,,"LINESTRING (-122.40045527046479 37.78502533757755, -122.39944661071036 37.78420869357113)"
216201,03RD,ST,,SHAFTER AVE,THOMAS AVE,25,,,,,,,,"LINESTRING (-122.39178394994018 37.731638602347864, -122.39188597493519 37.731549703362646, -122.39209745197337 37.73094520142798, -122.39205974798999 37.73085023943307)"
195101,03RD,ST,,26TH ST,CESAR CHAVEZ ST,30,,,,,,,,"LINESTRING (-122.38762076726115 37.751554658400416, -122.38754837128296 37.751459780403, -122.3875015274156 37.75037350648924, -122.38757206241833 37.750258433503845)"
234000,03RD,ST,,START: 6675-6699 BLOCK,BAY SHORE BLVD,0,,,,,,,,"LINESTRING (-122.39801586355945 37.718199215911426, -122.39842111055243 37.71773514897925)"
215101,03RD,ST,,REVERE AVE,SHAFTER AVE,25,,,,,,,,"LINESTRING (-122.39150814389038 37.73242696626269, -122.39150068891104 37.732257650276104, -122.39167909994325 37.73174768133125, -122.39178394994018 37.731638602347864)"
196000,03RD,ST,,CESAR CHAVEZ ST,MARIN ST,30,,,,,,,,"LINESTRING (-122.38757206241833 37.750258433503845, -122.38744310358317 37.74899981459834)"
218101,03RD,ST,,THORNTON AVE,UNDERWOOD AVE,25,,,,,,,,"LINESTRING (-122.39213341300358 37.730637197456005, -122.39210037301932 37.730543484461315, -122.39223100704294 37.730170068501664, -122.39233554203979 37.73006187551826)"
219201,03RD,ST,,UNDERWOOD AVE,WILLIAMS AVE,25,,,,,,,,"LINESTRING (-122.39233554203979 37.73006187551826, -122.39243977003518 37.72996667253371, -122.39264803607271 37.72937132059802, -122.39261133008958 37.72927351160342)"
199101,03RD,ST,,BURKE AVE,CUSTER AVE,30,,,,,,,,"LINESTRING (-122.38711531508713 37.745065496899166, -122.38708444711173 37.744892367911206, -122.38710466012027 37.74479200392096, -122.3872532101473 37.74436588096697, -122.38735940114437 37.74425446298394)"
199201,03RD,ST,,BURKE AVE,CUSTER AVE,30,,,,,,,,"LINESTRING (-122.38711531508713 37.745065496899166, -122.38721263909065 37.74490864791921, -122.38723170909876 37.744813962928454, -122.38737832312546 37.74439338397382, -122.38735940114437 37.74425446298394)"
173000,03RD,ST,,PERRY ST,STILLMAN ST,25,,,,,,,,"LINESTRING (-122.39682821434485 37.78211417555238, -122.39636630645667 37.78174533754905)"
217201,03RD,ST,,THOMAS AVE,THORNTON AVE,25,,,,,,,,"LINESTRING (-122.39205974798999 37.73085023943307, -122.39213574198246 37.730817134441345, -122.39217899999042 37.730692026454804, -122.39213341300358 37.730637197456005)"
150000,03RD,AVE,,START: 1-99 BLOCK,LAKE ST,0,,,,,,,,"LINESTRING (-122.4614882550912 37.78723485485579, -122.46145761314494 37.786811122888324)"
225101,03RD,ST,,CARROLL AVE,DONNER AVE,25,,,,,,,,"LINESTRING (-122.3942302872864 37.72547070803537, -122.39422494430315 37.72533266404633, -122.3945189153336 37.72468819512096)"
204201,03RD,ST,,GALVEZ AVE,HUDSON AVE,25,,,,,,,,"LINESTRING (-122.3884626873436 37.741102688324546, -122.38856330533716 37.741028053338, -122.38877090937419 37.740439294401774, -122.38874138239323 37.74031231941008)"
205201,03RD,ST,,HUDSON AVE,INNES AVE,25,,,,,,,,"LINESTRING (-122.38874138239323 37.74031231941008, -122.38884199938686 37.74023768442355, -122.38904728842343 37.73965547948658, -122.38901776044248 37.7395285044949)"
186101,03RD,ST,,16TH ST,MARIPOSA ST,30,,,,,,,,"LINESTRING (-122.38909646826457 37.76689836424218, -122.38903402228716 37.7667838562471, -122.38879697459787 37.76440693442587, -122.38884864760057 37.76431672043706)"
222201,03RD,ST,,YOSEMITE AVE,ARMSTRONG AVE,25,,,,,,,,"LINESTRING (-122.39321958117694 37.72772852577528, -122.39332728816935 37.72765464078923, -122.39356797519547 37.72711698385117, -122.39355695021352 37.72697489186212)"
205101,03RD,ST,,HUDSON AVE,INNES AVE,25,,,,,,,,"LINESTRING (-122.38874138239323 37.74031231941008, -122.38871519941017 37.74019972841747, -122.3889285074482 37.73959471248294, -122.38901776044248 37.7395285044949)"
209201,03RD,ST,,LA SALLE AVE,MCKINNON AVE,25,,,,,,,,"LINESTRING (-122.38985125559094 37.73716458875081, -122.38995186658452 37.737089952764286, -122.39015120662205 37.73650703382699, -122.39013184463904 37.736385251835635)"
232201,03RD,ST,,KEY AVE,LE CONTE AVE,25,,,,,,,,"LINESTRING (-122.39694114657335 37.71947163772811, -122.39705938556665 37.719376182744604, -122.39745731955796 37.71893632980989, -122.39746552956905 37.718829416819304)"
227201,03RD,ST,,FITZGERALD AVE,GILMAN AVE,25,,,,,,,,"LINESTRING (-122.39525144139378 37.72321739229579, -122.3953924063843 37.723116777314345, -122.39564073040988 37.72257321237733, -122.39560955543155 37.72242666238714)"
187101,03RD,ST,,MARIPOSA ST,18TH ST,30,,,,,,,,"LINESTRING (-122.38884864760057 37.76431672043706, -122.38878443961995 37.76423226743935, -122.3886748597636 37.763133436522004, -122.38873536276496 37.76304316353385)"
190201,03RD,ST,,20TH ST,22ND ST,30,,,,,,,,"LINESTRING (-122.38855376408819 37.76048589373155, -122.38861754408934 37.760393073743835, -122.38839335039772 37.75801841092346, -122.38831289541946 37.757934591924496)"
190101,03RD,ST,,20TH ST,22ND ST,30,,,,,,,,"LINESTRING (-122.38855376408819 37.76048589373155, -122.38848514210828 37.760400920733545, -122.38825550141846 37.758017242913446, -122.38831289541946 37.757934591924496)"
192101,03RD,ST,,23RD ST,24TH ST,30,,,,,,,,"LINESTRING (-122.38798791276311 37.75538494011113, -122.38791040778455 37.755300190112486, -122.3878051649273 37.75420226019539, -122.38786543192926 37.75410720120765)"
221101,03RD,ST,,LANE ST,YOSEMITE AVE,25,,,,,,,,"LINESTRING (-122.39288621413951 37.728484638688606, -122.39285250315642 37.72838179169465, -122.39311187218456 37.72780241176133, -122.39321958117694 37.72772852577528)"
160000,03RD,AVE,,LINCOLN WAY,HUGO ST,0,,,,,,,,"LINESTRING (-122.46000319975627 37.766160847478716, -122.4599397758711 37.76525184054879)"
192201,03RD,ST,,23RD ST,24TH ST,30,,,,,,,,"LINESTRING (-122.38798791276311 37.75538494011113, -122.38804852876463 37.755293501123084, -122.38794285490796 37.75419110520637, -122.38786543192926 37.75410720120765)"
193201,03RD,ST,,24TH ST,25TH ST,30,,,,,,,,"LINESTRING (-122.38786543192926 37.75410720120765, -122.3879261089307 37.75401639921958, -122.38782116507303 37.75292158030228, -122.38774307209526 37.752830667304046)"
193101,03RD,ST,,24TH ST,25TH ST,30,,,,,,,,"LINESTRING (-122.38787600592768 37.7541070322084, -122.38779885594863 37.75402597120947, -122.38769391509094 37.75293115229214, -122.3877536460937 37.75283049830481)"
224201,03RD,ST,,BANCROFT AVE,CARROLL AVE,25,,,,,,,,"LINESTRING (-122.39388930224949 37.726232452947606, -122.39399981824222 37.72615228696229, -122.39424004726826 37.7256156270241, -122.3942302872864 37.72547070803537)"
194101,03RD,ST,,25TH ST,26TH ST,30,,,,,,,,"LINESTRING (-122.38774307209526 37.752830667304046, -122.3876657481164 37.75274777430524, -122.38755901826113 37.751634248389365, -122.38762076726115 37.751554658400416)"
180000,03RD,ST,,TOWNSEND ST,KING ST,25,,,,,,,,"LINESTRING (-122.39273657533562 37.77884677052284, -122.3918273135558 37.77812075151626)"
194201,03RD,ST,,25TH ST,26TH ST,30,,,,,,,,"LINESTRING (-122.38774307209526 37.752830667304046, -122.38780357209689 37.7527380303161, -122.38769792224022 37.75163581339937, -122.38762076726115 37.751554658400416)"
152000,03RD,AVE,,CALIFORNIA ST,CORNWALL ST,0,,,,,,,,"LINESTRING (-122.46135544132416 37.78539819299696, -122.46132317338072 37.784951939031245)"
225201,03RD,ST,,CARROLL AVE,EGBERT AVE,25,,,,,,,,"LINESTRING (-122.3942302872864 37.72547070803537, -122.39433838627808 37.72540315604878, -122.39493760433994 37.72409074820081, -122.39491294635783 37.72396762220917)"
222101,03RD,ST,,YOSEMITE AVE,ARMSTRONG AVE,25,,,,,,,,"LINESTRING (-122.39321958117694 37.72772852577528, -122.39320826119494 37.727587094786166, -122.393448947221 37.7270494388481, -122.39355695021352 37.72697489186212)"
157000,03RD,AVE,,BALBOA ST,CABRILLO ST,0,,,,,,,,"LINESTRING (-122.46078311934015 37.77737538461413, -122.46064754157646 37.77551200275731)"
207201,03RD,ST,,NEWHALL ST,KIRKWOOD AVE,25,,,,,,,,"LINESTRING (-122.3892968494922 37.73873698658062, -122.38939746348582 37.73866235159413, -122.38960370252249 37.73807742565741, -122.38957417354163 37.737950452665764)"
220201,03RD,ST,,WILLIAMS AVE,LANE ST,25,,,,,,,,"LINESTRING (-122.39261133008958 37.72927351160342, -122.39272339208637 37.72915590362131, -122.39292008112088 37.728602263681324, -122.39288621413951 37.728484638688606)"
220102,03RD,ST,,LANE ST,LANE ST,30,,,,,,,,"LINESTRING (-122.39269023512601 37.72885518064371, -122.39279261714479 37.728560199675506, -122.39288621413951 37.728484638688606)"
158000,03RD,AVE,,CABRILLO ST,FULTON ST,0,,,,,,,,"LINESTRING (-122.46064754157646 37.77551200275731, -122.46053944076482 37.774026192871474)"
208101,03RD,ST,,KIRKWOOD AVE,LA SALLE AVE,25,,,,,,,,"LINESTRING (-122.38957417354163 37.737950452665764, -122.38954795155857 37.737837695673164, -122.38976187659671 37.737230892738864, -122.38985125559094 37.73716458875081)"
210201,03RD,ST,,MCKINNON AVE,NEWCOMB AVE,25,,,,,,,,"LINESTRING (-122.39013184463904 37.736385251835635, -122.39023063363625 37.73628110685139, -122.39042299467103 37.73573131791081, -122.39040305769088 37.735585577921405)"
176000,03RD,ST,,TABER PL,SOUTH PARK,25,,,,,,,,"LINESTRING (-122.39550454066534 37.781057195542814, -122.39505173977497 37.78069561353954)"
230202,03RD,ST,,SALINAS AVE,JAMESTOWN AVE,25,,,,,,,,"LINESTRING (-122.396450126501 37.72073509558802, -122.3966223575187 37.72035884163161, -122.39660382053674 37.720225971641284)"
198101,03RD,ST,,CARGO WAY,BURKE AVE,30,,,,,,,,"LINESTRING (-122.38716101095463 37.746152183812804, -122.3870775419916 37.7459402288242, -122.38702527708391 37.7452097218807, -122.38711531508713 37.745065496899166)"
202201,03RD,ST,,EVANS AVE,FAIRFAX AVE,25,,,,,,,,"LINESTRING (-122.38791314524141 37.742698211152764, -122.38799712723556 37.74264013116366, -122.38822206727917 37.74197179323526, -122.3881871372945 37.7418841192399)"
161000,03RD,AVE,,HUGO ST,IRVING ST,0,,,,,,,,"LINESTRING (-122.4599397758711 37.76525184054879, -122.45987433498951 37.76431389162112)"
229101,03RD,ST,,HOLLISTER AVE,INGERSON AVE,25,,,,,,,,"LINESTRING (-122.39593062146609 37.72171093946965, -122.39592719048146 37.72158238047999, -122.3961709465079 37.72103714254274, -122.3962596365016 37.72097658955423)"
188101,03RD,ST,,18TH ST,19TH ST,30,,,,,,,,"LINESTRING (-122.38873536276496 37.76304316353385, -122.38865341178798 37.76295055453548, -122.38862711191892 37.761853335624096, -122.38868138092144 37.76176132963566)"
179000,03RD,ST,,BRANNAN ST,TOWNSEND ST,25,,,,,,,,"LINESTRING (-122.39428682496023 37.780084783534, -122.39273657533562 37.77884677052284)"
191101,03RD,ST,,22ND ST,23RD ST,30,,,,,,,,"LINESTRING (-122.38830232242103 37.75793476092369, -122.38822573144267 37.75784693492532, -122.38804616461285 37.75660819701444, -122.38794525475812 37.755483423099875, -122.38798791276311 37.75538494011113)"
230201,03RD,ST,,INGERSON AVE,SALINAS AVE,25,,,,,,,,"LINESTRING (-122.3962596365016 37.72097658955423, -122.39637103249275 37.72090888056791, -122.396450126501 37.72073509558802)"
162000,03RD,AVE,,IRVING ST,PARNASSUS AVE,0,,,,,,,,"LINESTRING (-122.45987433498951 37.76431389162112, -122.45977715516531 37.76292099772853)"
221201,03RD,ST,,LANE ST,YOSEMITE AVE,25,,,,,,,,"LINESTRING (-122.39288621413951 37.728484638688606, -122.39297153213083 37.72844933769772, -122.39323089915894 37.72786995776447, -122.39321958117694 37.72772852577528)"
8407000,LISBON,ST,,EXCELSIOR AVE,BRAZIL AVE,15,true,,,,,,,"LINESTRING (-122.43124018879837 37.72510163676095, -122.43241884980203 37.723544785975136)"
8407000,LISBON,ST,LISBON,,,15,true,,,,,,,"LINESTRING (-122.43124018879837 37.72510163676095, -122.43241884980203 37.723544785975136)"
8412000,LISBON,ST,,ITALY AVE,AMAZON AVE,0,,,,,,,,"LINESTRING (-122.43711959681711 37.717331197829544, -122.43788734381978 37.71631466396927)"
8406000,LISBON,ST,LISBON,,,15,true,,,,,,,"LINESTRING (-122.43015648879434 37.72653883856359, -122.43124018879837 37.72510163676095)"
8411000,LISBON,ST,,FRANCE AVE,ITALY AVE,0,,,,,,,,"LINESTRING (-122.43594564381316 37.71888530861602, -122.43711959681711 37.717331197829544)"
8406000,LISBON,ST,,AVALON AVE,EXCELSIOR AVE,15,true,,,,,,,"LINESTRING (-122.43015648879434 37.72653883856359, -122.43124018879837 37.72510163676095)"
8410000,LISBON,ST,,RUSSIA AVE,FRANCE AVE,0,,,,,,,,"LINESTRING (-122.43477174680902 37.72043997240242, -122.43594564381316 37.71888530861602)"
8408000,LISBON,ST,,BRAZIL AVE,PERSIA AVE,0,,,,,,,,"LINESTRING (-122.43241884980203 37.723544785975136, -122.43359312680553 37.72199528218835)"
8409000,LISBON,ST,,PERSIA AVE,RUSSIA AVE,0,,,,,,,,"LINESTRING (-122.43359312680553 37.72199528218835, -122.43477174680902 37.72043997240242)"
8404000,LISBON,ST,,PERU AVE,AVALON AVE,0,,,,,,,,"LINESTRING (-122.42888983578975 37.728216772333, -122.43006629679397 37.72665832054717)"
8403000,LISBON,ST,,SILVER AVE,PERU AVE,0,,,,,,,,"LINESTRING (-122.42865375878888 37.72852949329004, -122.42888983578975 37.728216772333)"
8405000,LISBON,ST,,AVALON AVE,AVALON AVE,15,true,,,,,,,"LINESTRING (-122.43006629679397 37.72665832054717, -122.43015648879434 37.72653883856359)"
8405000,LISBON,ST,LISBON,,,15,true,,,,,,,"LINESTRING (-122.43006629579398 37.726658320547166, -122.43015648879434 37.72653883856359)"
8413000,LISBON,ST,,AMAZON AVE,GENEVA AVE,0,,,,,,,,"LINESTRING (-122.43788734381978 37.71631466396927, -122.4386109448285 37.7153023951054)"
8758202,MARKET,ST,,GOUGH ST,VALENCIA ST,25,,,,,,,,"LINESTRING (-122.4221732226238 37.77290417916194, -122.42258155160013 37.77258197021828, -122.42260647460613 37.77249787422707)"
8759201,MARKET,ST,,VALENCIA ST,OCTAVIA ST,25,,,,,,,,"LINESTRING (-122.42260647460613 37.77249787422707, -122.422718815592 37.772475138237134, -122.42358229054206 37.771793058356344, -122.42360630754783 37.77171201736472)"
8752101,MARKET,ST,,HYDE ST,LARKIN ST,0,,,,,,,,"LINESTRING (-122.41472800706288 37.7787144851399, -122.41475182906845 37.77863589514807, -122.4161737779867 37.777508097344814, -122.41627848697331 37.77748889835403)"
8760201,MARKET,ST,,OCTAVIA ST,LAGUNA ST,25,,,,,,,,"LINESTRING (-122.42360630754783 37.77171201736472, -122.42371194953454 37.77169063737423, -122.42481536747012 37.77082384252611, -122.42483938347593 37.77074280253454)"
8753101,MARKET,ST,,LARKIN ST,POLK ST,0,,,,,,,,"LINESTRING (-122.41627848697331 37.77748889835403, -122.4163038909792 37.7774050833628, -122.41737885891699 37.77655600751123, -122.41748824690298 37.776535949520834)"
8754101,MARKET,ST,,POLK ST,11TH ST,0,,,,,,,,"LINESTRING (-122.41748824690298 37.776535949520834, -122.41751478690908 37.77644838653002, -122.41864536784398 37.77555321768622)"
8755101,MARKET,ST,,VAN NESS AVE,PAGE ST,0,,,,,,,,"LINESTRING (-122.41924239080237 37.775142129763715, -122.41926615280813 37.77506167977204, -122.42013575475801 37.77437311289224, -122.42024106374453 37.77435373090152)"
8756101,MARKET,ST,,PAGE ST,FRANKLIN ST,0,,,,,,,,"LINESTRING (-122.42024106374453 37.77435373090152, -122.4202657357505 37.77427018891021, -122.42057844373251 37.774022575953424, -122.4206855577188 37.77400286196286)"
8757101,MARKET,ST,,FRANKLIN ST,BRADY ST,25,,,,,,,,"LINESTRING (-122.4206855577188 37.77400286196286, -122.42071065472489 37.77391788597171, -122.42121893969518 37.77351843604168)"
8758101,MARKET,ST,,GOUGH ST,VALENCIA ST,25,,,,,,,,"LINESTRING (-122.42192803164573 37.77303110713363, -122.42195492665228 37.77294003214309, -122.42249744062056 37.772513937217745, -122.42260647460613 37.77249787422707)"
8761201,MARKET,ST,,LAGUNA ST,BUCHANAN ST,25,,,,,,,,"LINESTRING (-122.42483938347593 37.77074280253454, -122.42494502246261 37.77072141954403, -122.42627221038512 37.76967869572675, -122.42629622239093 37.76959765373519)"
8759101,MARKET,ST,,VALENCIA ST,OCTAVIA ST,25,,,,,,,,"LINESTRING (-122.42260647460613 37.77249787422707, -122.4226333526127 37.77240685123647, -122.42349694456227 37.77172813035542, -122.42360630754783 37.77171201736472)"
8761101,MARKET,ST,,LAGUNA ST,BUCHANAN ST,25,,,,,,,,"LINESTRING (-122.42483938347593 37.77074280253454, -122.42486620848243 37.770651950544, -122.42618711340538 37.769613731725904, -122.42629622239093 37.76959765373519)"